team,player_name,map,kills,deaths,kd_ratio,acs,adr,kast,enemy_team,rounds_won,rounds_lost,date
XSET,zekken,breeze,18,13,1.38461538461538,238,150,68,evil geniuses,13,9,2/13/2022
XSET,Cryocells,breeze,17,12,1.41666666666667,,,,evil geniuses,13,9,2/13/2022
XSET,,breeze,,,#NUM!,,,,evil geniuses,13,9,2/13/2022
XSET,,breeze,,,#NUM!,,,,evil geniuses,13,9,2/13/2022
XSET,,breeze,,,#NUM!,,,,evil geniuses,13,9,2/13/2022
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
,,,,,#NUM!,,,,,,,
